record - header - datestamp,record - metadata - oai_dc:dc - dc:identifier,record - metadata - oai_dc:dc - dc:source,record - metadata - oai_dc:dc - dc:language,record - metadata - oai_dc:dc - dc:title - xml:lang,record - metadata - oai_dc:dc - dc:title,record - metadata - oai_dc:dc - dc:format,record - metadata - oai_dc:dc - dc:subject - xml:lang,record - metadata - oai_dc:dc - dc:subject,record - metadata - oai_dc:dc - dc:publisher,record - metadata - oai_dc:dc - dc:type,record - metadata - oai_dc:dc - dc:creator,record - metadata - oai_dc:dc - dc:coverage,record - metadata - oai_dc:dc - dc:description,record - metadata - oai_dc:dc - dc:description - xml:lang,record - metadata - oai_dc:dc - dc:rights,record - metadata - oai_dc:dc - dc:relation,record - header - identifier
,GEWISS_R_SV_UK_004.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_005.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_005.cmdi
,GEWISS_R_SV_UK_005.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_006.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_006.cmdi
,GEWISS_R_SV_UK_006.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_007.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_007.cmdi
,GEWISS_R_SV_UK_007.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_008.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_008.cmdi
,GEWISS_R_SV_UK_008.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_009.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_009.cmdi
,GEWISS_R_SV_UK_009.cmdi,,,,,,,,,,,,,,,,
